Date,Open,High,Low,Close,Adj Close,Volume
2006-03-03,15835.429688,15897.290039,15658.639648,15663.339844,15663.339844,111200
2006-03-06,15668.629883,15901.160156,15609.799805,15901.160156,15901.160156,99900
2006-03-07,15864.570313,15864.570313,15678.120117,15726.019531,15726.019531,113100
2006-03-08,15657.790039,15720.650391,15553.139648,15627.490234,15627.490234,113400
2006-03-09,15645.299805,16049.610352,15645.299805,16036.910156,16036.910156,117800
2006-03-10,16007.410156,16264.889648,15982.019531,16115.629883,16115.629883,166700
2006-03-13,16264.589844,16379.469727,16242.160156,16361.509766,16361.509766,94700
2006-03-14,16401.109375,16410.289063,16238.360352,16238.360352,16238.360352,94600
2006-03-15,16342.519531,16367.759766,16291.769531,16319.040039,16319.040039,89700
2006-03-16,16354.709961,16356.490234,16032.549805,16096.209961,16096.209961,97400
2006-03-17,16172.740234,16339.730469,16106.379883,16339.730469,16339.730469,90600
2006-03-20,16299.349609,16667.130859,16299.349609,16624.800781,16624.800781,102200
2006-03-21,null,null,null,null,null,null
2006-03-22,16578.500000,16583.250000,16477.259766,16495.480469,16495.480469,122700
2006-03-23,16605.480469,16661.140625,16464.470703,16489.369141,16489.369141,98900
2006-03-24,16501.500000,16612.519531,16462.470703,16560.869141,16560.869141,80800
2006-03-27,16599.919922,16711.160156,16599.919922,16650.099609,16650.099609,92600
2006-03-28,16550.470703,16690.240234,16463.949219,16690.240234,16690.240234,95600
2006-03-29,16670.380859,16976.289063,16613.720703,16938.410156,16938.410156,109100
2006-03-30,17011.130859,17125.640625,16974.470703,17045.339844,17045.339844,140500
2006-03-31,17088.759766,17094.609375,16995.769531,17059.660156,17059.660156,100600
2006-04-03,17127.609375,17387.080078,17105.500000,17333.310547,17333.310547,129600
2006-04-04,17295.580078,17410.300781,17266.390625,17292.910156,17292.910156,115400
2006-04-05,17340.140625,17464.539063,17187.349609,17243.980469,17243.980469,125800
2006-04-06,17365.570313,17489.330078,17347.009766,17489.330078,17489.330078,111400
2006-04-07,17498.880859,17563.369141,17418.939453,17563.369141,17563.369141,118000
2006-04-10,17455.029297,17489.609375,17385.250000,17456.580078,17456.580078,103900
2006-04-11,17460.679688,17489.160156,17295.419922,17418.130859,17418.130859,111600
2006-04-12,17297.179688,17325.210938,17162.000000,17162.550781,17162.550781,117500
2006-04-13,17232.279297,17303.269531,17068.960938,17199.150391,17199.150391,101200
2006-04-14,17319.330078,17319.330078,17149.080078,17233.820313,17233.820313,89500
2006-04-17,17233.730469,17233.730469,17000.359375,17000.359375,17000.359375,78300
2006-04-18,16971.759766,17268.050781,16945.300781,17232.859375,17232.859375,98400
2006-04-19,17405.919922,17459.240234,17350.119141,17350.119141,17350.119141,104500
2006-04-20,17391.939453,17412.589844,17283.970703,17317.529297,17317.529297,96200
2006-04-21,17332.349609,17479.730469,17258.490234,17403.960938,17403.960938,109000
2006-04-24,17245.619141,17245.619141,16892.150391,16914.400391,16914.400391,110600
2006-04-25,16929.359375,17000.199219,16787.439453,16970.289063,16970.289063,103400
2006-04-26,16993.230469,17107.929688,16944.539063,17055.929688,17055.929688,105100
2006-04-27,17118.919922,17176.060547,17094.720703,17114.539063,17114.539063,103600
2006-04-28,17039.369141,17043.669922,16750.500000,16906.230469,16906.230469,112500
2006-05-01,16929.830078,16965.330078,16868.689453,16925.710938,16925.710938,79600
2006-05-02,16920.130859,17188.539063,16900.330078,17153.769531,17153.769531,89300
2006-05-03,null,null,null,null,null,null
2006-05-04,null,null,null,null,null,null
2006-05-05,null,null,null,null,null,null
2006-05-08,17334.189453,17375.250000,17248.589844,17291.669922,17291.669922,121000
2006-05-09,17253.810547,17294.500000,17178.949219,17190.910156,17190.910156,116600
2006-05-10,17161.470703,17253.109375,16883.390625,16951.929688,16951.929688,127600
2006-05-11,16887.369141,17087.000000,16840.849609,16862.140625,16862.140625,110100
2006-05-12,16655.980469,16655.980469,16422.490234,16601.779297,16601.779297,131700
2006-05-15,16395.880859,16486.910156,16317.200195,16486.910156,16486.910156,118700
2006-05-16,16508.890625,16596.480469,16116.730469,16158.419922,16158.419922,134500
2006-05-17,16259.019531,16319.299805,16033.660156,16307.669922,16307.669922,147800
2006-05-18,16089.250000,16139.139648,15914.389648,16087.179688,16087.179688,131800
2006-05-19,16041.179688,16166.339844,15925.690430,16155.450195,16155.450195,125000
2006-05-22,16254.559570,16268.509766,15837.259766,15857.870117,15857.870117,126400
2006-05-23,15722.049805,15776.200195,15582.860352,15599.200195,15599.200195,137300
2006-05-24,15676.639648,15907.200195,15508.509766,15907.200195,15907.200195,136200
2006-05-25,15809.330078,15849.230469,15644.620117,15693.750000,15693.750000,104500
2006-05-26,15827.870117,15970.759766,15819.320313,15970.759766,15970.759766,101900
2006-05-29,16111.540039,16111.540039,15885.070313,15915.679688,15915.679688,96700
2006-05-30,15920.790039,15937.910156,15814.830078,15859.450195,15859.450195,86400
2006-05-31,15660.870117,15660.870117,15442.530273,15467.330078,15467.330078,114500
2006-06-01,15603.250000,15655.000000,15417.509766,15503.740234,15503.740234,102500
2006-06-02,15600.280273,15789.309570,15266.969727,15789.309570,15789.309570,141200
2006-06-05,15719.309570,15784.950195,15622.750000,15668.309570,15668.309570,89700
2006-06-06,15500.919922,15507.780273,15340.929688,15384.860352,15384.860352,96300
2006-06-07,15285.049805,15433.290039,15095.150391,15096.009766,15096.009766,122100
2006-06-08,14990.040039,14990.040039,14496.959961,14633.030273,14633.030273,171400
2006-06-09,14530.500000,14825.480469,14389.309570,14750.839844,14750.839844,219300
2006-06-12,14685.459961,14845.040039,14580.870117,14833.009766,14833.009766,116000
2006-06-13,14650.589844,14658.230469,14218.599609,14218.599609,14218.599609,118500
2006-06-14,14084.519531,14458.820313,14045.530273,14309.559570,14309.559570,146000
2006-06-15,14453.330078,14593.849609,14417.700195,14470.759766,14470.759766,112600
2006-06-16,14679.349609,14976.669922,14679.349609,14879.339844,14879.339844,130200
2006-06-19,14815.860352,14918.599609,14772.139648,14860.349609,14860.349609,86300
2006-06-20,14811.110352,14845.709961,14621.870117,14648.410156,14648.410156,91800
2006-06-21,14712.860352,14713.429688,14482.959961,14644.259766,14644.259766,95000
2006-06-22,14812.169922,15138.469727,14812.169922,15135.690430,15135.690430,109000
2006-06-23,15001.769531,15126.519531,14865.570313,15124.040039,15124.040039,98100
2006-06-26,15080.230469,15216.780273,14987.769531,15152.400391,15152.400391,93200
2006-06-27,15165.629883,15207.379883,15095.110352,15171.809570,15171.809570,94000
2006-06-28,14998.009766,14998.009766,14824.799805,14886.110352,14886.110352,96500
2006-06-29,14981.700195,15137.580078,14975.780273,15121.150391,15121.150391,87700
2006-06-30,15333.099609,15521.219727,15333.099609,15505.179688,15505.179688,108900
2006-07-03,15573.349609,15617.219727,15513.290039,15571.620117,15571.620117,102700
2006-07-04,15677.040039,15710.389648,15617.809570,15638.500000,15638.500000,90900
2006-07-05,15504.169922,15584.620117,15479.929688,15523.940430,15523.940430,89600
2006-07-06,15455.179688,15460.830078,15278.179688,15321.400391,15321.400391,94600
2006-07-07,15428.320313,15437.040039,15276.150391,15307.610352,15307.610352,90400
2006-07-10,15149.910156,15555.429688,15079.740234,15552.809570,15552.809570,111300
2006-07-11,15485.259766,15498.200195,15333.589844,15473.820313,15473.820313,102100
2006-07-12,15405.419922,15463.719727,15169.150391,15249.320313,15249.320313,111400
2006-07-13,15127.740234,15370.349609,15053.610352,15097.950195,15097.950195,111800
2006-07-14,14914.009766,14997.450195,14815.900391,14845.240234,14845.240234,114200
2006-07-17,null,null,null,null,null,null
2006-07-18,14714.179688,14747.200195,14437.240234,14437.240234,14437.240234,128100
2006-07-19,14503.830078,14625.639648,14456.429688,14500.259766,14500.259766,116200
2006-07-20,14713.559570,14962.129883,14705.429688,14946.839844,14946.839844,107000
2006-07-21,14825.160156,14867.809570,14784.240234,14821.259766,14821.259766,91100
2006-07-24,14700.580078,14851.910156,14560.669922,14794.500000,14794.500000,98400
2006-07-25,14970.599609,15078.360352,14948.360352,15005.240234,15005.240234,99300
2006-07-26,15065.570313,15108.139648,14882.669922,14884.070313,14884.070313,94600
2006-07-27,14883.500000,15220.330078,14839.490234,15179.780273,15179.780273,109700
2006-07-28,15217.440430,15351.790039,15150.530273,15342.870117,15342.870117,112900
2006-07-31,15462.389648,15536.320313,15433.200195,15456.809570,15456.809570,109400
2006-08-01,15387.519531,15522.030273,15365.709961,15440.910156,15440.910156,93000
2006-08-02,15341.530273,15466.070313,15287.809570,15464.290039,15464.290039,95600
2006-08-03,15527.269531,15580.910156,15441.669922,15470.370117,15470.370117,87000
2006-08-04,15502.559570,15555.900391,15435.330078,15499.179688,15499.179688,89100
2006-08-07,15494.469727,15516.240234,15154.059570,15154.059570,15154.059570,90000
2006-08-08,15234.389648,15476.940430,15189.099609,15464.660156,15464.660156,89200
